wilderness,wildernessName,description,state,agency,acreage,yearOriginallyDesignated
lakeWoodruff,Lake Woodruff Wilderness,"In 1823, Major Joseph Woodruff acquired the DeLeon Springs area (the infamous Fountain of Youth) and gave his name to the nearby lake, for which the Lake Woodruff Wilderness is named. In this country of freshwater marshes, lakes, and streams, species include at least 200 birds, 42 mammals, 58 reptiles, 33 amphibians, and 68 fish. Ducks account for more than half of the migratory birds. Ospreys likewise abound, and no other wilderness echoes more often with the weird cries of the limpkin. A large portion of thearea is accessible only by boat.
",FL,FWS,"1,066",1976
jnDingDarling,JN Ding Darling Wilderness,"Jay Norwood ""Ding"" Darling, the Pulitzer Prize-winning cartoonist, helped pioneer the conservation movement, serving as head of the U.S. Biological Survey (forerunner of the U.S. Fish and Wildlife Service) and creating the Federal Duck Stamp Program. His namesake, the J. N. ""Ding"" Darling Wilderness, is a mass of mangrove islands. Humidity is almost always high, and afternoon rain showers are common in the summer. Abundant wildlife species include alligators, raccoons, bobcats, river otters, marsh rabbits and migratory birds such as ospreys, brown pelicans, moorhens, ducks, herons, egrets, anhingas, wood storks, and roseate spoonbills. Visitors enjoy kayaking, canoeing, and sportfishing throughout the open water areas.
",FL,FWS,"2,619",1976
beringSea,Bering Sea Wilderness,"The Saint Matthew Island Group, consisting of Saint Matthew and small nearby Hall and Pinnacle Islands, comprises the Bering Sea Wilderness. One of the largest seabird concentrations in the North Pacific (3.5 million birds) can be found here in summer, dominated by auklets, common eiders, old-squaws, gulls, murres, and puffins. A beautiful land formed by volcanic activity, these wilderness islands rise more than 1,500 feet above the sea with sheer cliffs and waterfalls dropping dramatically into icy water. On Saint Matthew you'll find one of the few colonies of northern fulmars on Earth, and almost the entire world's population of McKay's buntings nest here. Northern sea lions and seals haul out at several places, and walruses climb ashore at one spot on Saint Matthew. Gray whales are often seen offshore, and sometimes an endangered bowhead whale swims by in winter. 
",AK,FWS,"81,340",1970
wrangell,Wrangell-Saint Elias Wilderness,"Vitus Bering saw a mountain rising far above anything else around and recorded the sighting on July 16, 1741, the first Russian written report of land in Alaska. Bering named Cape Saint Elias four days later, on Elias' saint day, and the name was later given as well to the 18,008-foot mountain (the second highest peak in the United States) that dominates what is now the Wrangell-Saint Elias Wilderness, the largest wilderness. This is a land of remote valleys, wild rivers, and a fabulous wildlife population that includes the world's finest Dall sheep, grizzly bears, black bears, caribou, moose, bison, mountain goats, wolves, wolverines, beavers, coyotes, foxes, and marmots. In the north the glaciated peaks drop to tundra and boreal forested uplands. In the south massive glaciers spread from the mountains almost to the Gulf of Alaska. Enough snow accumulates in the high country to make avalanches a year-round danger.",AK,NPS,"9,078,675",1980
hawaiiVolcanoes,Hawaii Volcanoes Wilderness,The Big Island of Hawaii is home to the Hawai`i Volcanoes Wilderness and its active volcanoes. The northwestern extension holds Mauna Loa while the southwestern portion includes several miles of coastline. More than 150 miles of trail crisscross the wilderness. The Ka'u Desert Trail curls across shadeless lava fields past cinder cones; The Ka'aha Trail leads hikers down the fault scarps of Hilina Pali to the ocean; The Napau Trail crosses lava from the Mauna Ulu Lava Shield and follows above the path of magma flowing to the vent on Kilauea's east rift.,HI,NPS,"130,790",1978
petrifiedForest,Petrified Forest National Wilderness,"About 225 million years ago the Petrified Forest National Wilderness Area was a vast floodplain crossed by many streams. Tall, stately, pinelike trees grew here, sheltering a myriad of reptiles. When the trees fell, they washed into the water to be buried under silt, mud, and volcanic ash. Groundwater seeped through the logs, bearing silica that later crystallized into quartz, which ultimately petrified the wood. After centuries of burial and upheaval, the land became the high, dry Arizona tableland seen today. While the forces of erosion sculpted the Painted Desert, they also brought the petrified wood slowly to the surface. In addition to the petrified wood logs, visitors can observe remnants of petro-glyphs and stone houses built by early human settlers to this region, dating back approximately 2,000 years.",AZ,NPS,"50,260",1970
hatfield,Mark O Hatfield Wilderness,"This wilderness, named for a long-time former Oregon Senator, the Mark O. Hatfield Wilderness lies just south of the sheer cliffs of the Columbia River Gorge. The breaks of the gorge are spectacular basalt cliffs, rocky slopes, and rock outcroppings. Rugged and steep, the slopes of the wilderness rise to a slightly uneven plateau and on to mountain peaks, talus slopes, and lakes with elevations ranging from approximately 100 feet near the river to 4,900 feet on Mount Defiance. Sparkling waterfalls and mossy-green cliff faces often highlight the deep drainages slashing through the broad, flat ridge tops. The main waterways--Herman Creek, Eagle Creek, and Tanner Creek--flow north toward the river, supporting borders of western hemlock and fir. Most of the 200 miles of trails follow drainages. Approximately 14 miles of the Pacific Crest Trail and the Eagle Creek Trail receive the most use.",OR,FS,"65,822",1984
sacatar,Sacatar Trail Wilderness,"The Sacatar Trail, an old wagon road for which this wilderness is named, is one of the few reminders that humans ever traveled regularly through this area. It provides relatively easy access into this rugged wilderness on the eastern slope of the southern Sierra Nevada Mountains. Valleys, canyons, and alluvial fans rise into steep hills that eventually peak along ridge tops and granite summits with elevations of more than 7,800 feet. Creosote bush, Joshua trees, and desert shrubs in the lower elevations change to scattered pi&ntilde;on and juniper woodlands dotted with cactuses higher up. In several of the canyons, you'll find springs that feed riparian habitats of cottonwoods, willows, and grasses. Mule deer flourish, along with golden eagles, prairie falcons, and other raptors, as well as game birds such as quail and dove.",CA,BLM,"50,451",1994
mtJefferson,Mount Jefferson Wilderness,"Five glaciers mantle the slopes of stately Mount Jefferson, the dominant feature in this region of the high Cascades and the landmark for which this wilderness is named. At 10,497 feet, Mount Jefferson challenges hikers with the steepest, most difficult climb of Oregon's high summits. The southern portion of the area rests beneath 7,841-foot Three Fingered Jack. Most of the high country of this wilderness is wide open with scattered tree cover, long talus slopes, rocky outcroppings, alpine meadows, and year-round patches of snow. Between 5,000 feet and 6,000 feet you'll find more than 150 small lakes, about half of them stocked with trout. A grand forest of Douglas fir, silver fir, subalpine fir, mountain hemlock, lodgepole pine, ponderosa pine, and cedar mix with vine maple, huckleberry, and rhododendron to distinguish the lower elevations.",OR,FS,"104,523",1968
deathValley,Death Valley Wilderness,"The Death Valley Wilderness is the hottest, driest, lowest spot in North America. The 134 degrees recorded on July 10, 1913 is the highest temperature recorded on the planet. Though broken up by paved and dirt roads into at least 40 smaller wilderness sections, it is the the largest named wilderness in the lower 48 states. Annual rainfall measures slightly less than two inches, yet there is far more to Death Valley than dry heat. Telescope Peak rises to 11,049 feet, and much of the Panamint Range stands white under winter snow. Contrast this with nearby Badwater, 15 or so miles to the east as the crow flies, where the earth lies almost 300 feet below sea level, the lowest terrestrial point in the North America. Vast fields of sand dunes shimmer in the sun, and rock outcroppings are carved into shapes of staggering beauty, especially striking at dawn and dusk. Colorful cliffs stand above endless flats of creosote bush. More than 1000 species of plants have been identified within the park, and nights come alive to the scurrying of small mammals. Coyotes, gray and kit foxes, bobcats, jackrabbits, and desert tortoises thrive here, as do a plethora of bats, birds, lizards, and snakes. Desert bighorn sheep live in the canyons and lower mountains while mule deer live in the high Panamints, where you can sometimes tramp through a dry forest of pi&ntilde;on, juniper, mountain mahogany, and a few bristlecone pines. Wildflowers bloom in spectacular variety when enough rain falls during the winter and spring. Ubehebe Crater opens 2,400 feet in diameter, marking where a ""maar"" volcano erupted less than 500 years ago. ",CA,NPS,"3,102,497",1994
bridger,Bridger Wilderness,"Jim Bridger, certainly one of the most famous mountain men in American history, is memorialized by this wilderness in the Wind River Range of western Wyoming. This rugged piece of the Rocky Mountains, extending for approximately 80 miles along the western slope of the Continental Divide, contains a unique combination of jagged granite rock, alpine forest, and open alpine meadows. Serving as the headwaters for the mighty Green River, this wilderness holds 7 of the 10 largest glaciers in the lower 48, more than 2,300 cold crystalline lakes and ponds, and numerous glacier-carved cirques, kettles, valleys, and hanging troughs. Gannett Peak, located on the shared boundary of the Fitzpatrick Wilderness, is the highest point in Wyoming at 13,804 feet, towering above a vast area of stark granite summits that were once thrust violently into the sky by enormous compressional forces within the earth.",WY,FS,"428,087",1964
pemigewasset,Pemigewasset Wilderness,"Nary a road blemishes New Hampshire's largest Wilderness, a bastion of hardwoods further insulated by a series of raggedly beautiful peaks that extend beyond the tree line and drain in-to the East Branch of the Pemigewasset River. If you make it past these welcome obstacles, prepare to enjoy New England backpacking at its best. The ""Pemi"" is so secluded, in fact, that I've run across many a moose, deer, even a fox and a black bear. Loggers removed almost the entire forest cover between 1890 and 1940, but 55 years of regeneration have eliminated virtually all signs of that era. 
The sharp, narrow Franconia Range and Twin Range form a horseshoe around the western portion of the Pemigewasset Wilderness, with the Franconia threatening to challenge the Presidential Range for the title of Premier Peak. Mount Bond's crags and ledges demarcate the central northern boundary, and the Bondcliffs, just southwest of Mount Bond, quietly flaunt a vista across mountains and forests that show no trace of human interference. This is one of the few places in New Hampshire that can confess to boasting such a flawless view. The wilderness flattens in the eastern portion, an area sometimes referred to as the Desolation Region for having withstood devastating logging operations. But despite the bad rap, the Desolation Region contains lovely Thoreau Falls, Ethan Pond, and Shoal Pond. ",NH,FS,"46,018",1984
superstition,Superstition Wilderness,"Although there is no guarantee that you'll find buried treasure, you are sure to discover miles of desolate and barren mountains, seemingly endless and haunting canyons, raging summer temperatures that can surpass 115 degrees Fahrenheit, and a general dearth of water. Even the Superstition Wilderness's earliest known inhabitants, the hardy Hohokam and Salados peoples, established only very small villages and cliff dwellings in this harsh and fabulous country between 800 and 1400 a.d. Elevations range from approximately 2,000 feet on the western boundary to 6,265 feet on Mound Mountain. In the western portion, rolling land is surrounded by steep, even vertical terrain. Weaver's Needle, a dramatic volcanic plug, rises to 4,553 feet. Vegetation is primarily that of the Sonoran Desert, with semidesert grassland and chaparral higher up. Dense brushland covers hundreds of acres. A few isolated pockets of ponderosa pine may be found at the highest elevations.",AZ,FS,"159,757",1964
sawtooth,Sawtooth Wilderness,"The Sawtooth Mountains, for which this wilderness is named, have long been recognized for their exceptional beauty and wild qualities. As the name suggests, this spectacular wilderness is comprised of hundreds of jagged peaks, 42 over 10,000 feet in height, with hundreds of high alpine lakes and tranquil basins. Within this dazzling landscape with its endless recreation possibilities, lie the headwaters of three major rivers. Deep, secluded valleys provide habitat for an abundant population of wildlife and many species of fish.",ID,FS,"217,088",1972
