wilderness,wildernessFull,photoCategory,photographerCategory,age,photo,title,titleFull,photographer,photographerLocation,text,photoInfo,winnerType,thumbnailPosition,lat,long,photoURL
bobMarshall,"Bob Marshall Wilderness, Montana",People in Wilderness,Student,18,30_GordonDimmig_StudentWinner_BigSalmonLake_MT.jpg,Fly Fishing on Big Salmon Lake,Fly Fishing on Big Salmon Lake,Gordon Dimmig,"Elizabethtown, Pennsylvania","<p>Big Salmon Lake stretches four miles long through the Bob Marshall Wilderness, a sight both welcoming and humbling. Earlier in the day, our group had witnessed a bull moose swimming across this lake. In the evening, as the lake became smooth as glass, my friend started to fly fish. His passion for fly fishing was evident as he continually casted for hours. It was truly an art: his graceful movements in complete silence. Watching this interaction with wilderness made me appreciate all that nature has to share with humans.</p>","Canon EOS 5D Mark II; EF 100-400mm f/4.5-5.6L IS USM lens at 400mm; 1/200 sec at f/5.6; ISO 1000, hand-held.",Winner,center,47.6803,-113.174,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/30_GordonDimmig_StudentWinner_BigSalmonLake_MT.jpg
bobMarshall,"Bob Marshall Wilderness, Montana",Scenic Landscape,Student,18,79_GordonDimmig_BigsalmonFalls_MT.jpg,Big Salmon Falls,Big Salmon Falls,Gordon Dimmig,"Elizabethtown, Pennsylvania","<p>Near the end of a two-week adventure in the Bob Marshall Wilderness, our group arrived at our campsite after a long day of hiking. Just up the trail was Big Salmon Falls, a beautiful two-tier cascade among jagged rocks. After dinner, the light was beginning to soften, so I decided to return to the falls. I spent two hours alone, photographing the waterfall from every angle possible. The timeless song of rushing water was very calming. Without a tripod or other heavy gear, I was forced to get creative with stabilizing my camera on rocks. I intend this image to calm viewers and to encourage them to venture into the wilderness to relax.</p>",Canon EOS 5D Mark II; EF 17-40mm f/4L USM lens; B+W circular polarizer MRC; 1.6 sec at f/11; ISO 160; hand-held. ,Honorable Mention,center,47.6803,-113.174,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/79_GordonDimmig_BigsalmonFalls_MT.jpg
bobMarshall,"Bob Marshall Wilderness, Montana",Scenic Landscape,Student,18,80_GordonDimmig_ChineseWall_MT.jpg,Chinese Wall,Chinese Wall,Gordon Dimmig,"Elizabethtown, Pennsylvania","<p>Backpacking in the Bob Marshall Wilderness, I was most excited to see the famous Chinese Wall, a huge vertical rock face that stretches many miles along the Continental Divide. On our second day, we neared a viewing point along the White River Pass. At sunset, I walked to a stunning vista that displayed the Chinese Wall to the north. It was a breathtaking sight, despite the poor lighting conditions. The next morning, I woke at sunrise to photograph the wall in much better light. I snapped several photos in the soft morning light as a herd of 25 elk foraged in the valley below.</p>",Canon EOS 5D Mark II; EF 17-40mm f/4L USM lens; B+W circular polarizer MRC 1/125 sec at f/9; ISO 400; hand-held. ,Honorable Mention,center,47.6803,-113.174,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/80_GordonDimmig_ChineseWall_MT.jpg
bosqueDelApache,"Bosque del Apache Wilderness, New Mexico",Wildlife,Amateur,null,4_DianeMcAllister_SandhillCranes_NM.jpg,Sandhill Crane,"Sandhill Cranes, <em>Grus canadensis</em>",Diane McAllister,"Reno, Nevada","<p>These migrating Sandhill Cranes fed in nearby cornfields throughout the day. Knowing they would return to the water for their night roost, I positioned myself in an area with beautiful light and waited. The birds can land in groups, and the area can get quite busy. After an hour, this pair was among the first to fly in. They appear to be perfect partners in a synchronized flight dance.</p>",Canon EOS-1D Mark IV; 500mm f/4 L IS USM lens; 1/2000 sec at f/8; ISO 400; Gitzo 1325 CF tripod; Wimberley II head.,Honorable Mention,right,33.7882,-106.831,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/4_DianeMcAllister_SandhillCranes_NM.jpg
boundaryWaters,"Boundary Waters Canoe Area Wilderness, Minnesota",Scenic Landscape,Amateur,null,34_DawnLaPointe_AmWinner_BoundaryWaters_MN.jpg,Sunset Paddle,Sunset Paddle,Dawn M. LaPointe,"Hermantown, Minnesota","<p>My husband and I are deeply drawn to and passionate about America's wilderness, as well as nature photography. We spent our week-long honeymoon on a trip in the Boundary Waters Canoe Area Wilderness. This is one of many images from that adventure that strengthened our innate connection with the land and with one another. I felt suspended in time while capturing this incredible scene, in awe of its beauty and energy. Mother Nature is the master artist; I am a messenger. Behind the lens, I strive to honor the essence and convey the messages of my subjects.</p>",Canon EOS Rebel T2i; EF-S18-135mm f/3.5-5.6 IS lens at 24mm; B+W UV #010 filter; 1/30 sec at f/10; ISO 200; Benro A-158M8 tripod; Slik AF-2100 Pistol Grip head.,Winner,right,47.8537,-91.4409,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/34_DawnLaPointe_AmWinner_BoundaryWaters_MN.jpg
bridger,"Bridger Wilderness, Wyoming",Most Inspirational Moment,Amateur,null,95_ErwinBuske_LozierLake_WY.jpg,Lozier Lake,Lozier Lake,Erwin Buske,"Renton, Washington","<p>Walking along the shore of Lozier Lake in the early morning, I stood in awe of how the storm clouds and wind-driven rain of the night before had given way to this tranquil scene. With this picture, my goal was to draw the viewer slowly into the scene through the beautiful foil of green meadows and pink heather, on to the well-placed but irregular bronze and gray granite boulders, and out to mesmerizing beauty of the lake, windswept pines, and Gannett Peak in the distance</p>","Olympus Micro 4/3 EP-2; Panasonic Lumix 7-14mm f/4 lens at 9mm focal; 1/13 sec at f/7; ISO 100, Gitzo GT1541T CF tri- pod; SLIK SBH-120DQ ball head. ",Honorable Mention,left,42.8861,-109.483,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/95_ErwinBuske_LozierLake_WY.jpg
deathValley,"Death Valley Wilderness, Nevada",Most Inspirational Moment,Pro,null,94_BobbyWheat_DeathValleySunset_NV.jpg,Racetrack Playa at Sunset,Racetrack Playa at Sunset,Bobby Wheat,"Las Vegas, Nevada","<p>A nearly 30-mile trek through the mountains eventually leads to a remote valley and a large, dry lakebed called the Racetrack Playa where one of the world&rsquo;s most mysterious phenomena occurs. While no one knows for sure exactly what causes these rocks to move, scientists speculate that freezing temperatures in combination with moisture and wind could be the catalyst in this natural mystery. This magical evening boasted blazing skies, creating an angelic ambiance that reflected off the Racetrack. There was something very haunting and evocative about the sense of isolation in this scene that captures the story of the Racetrack Playa beautifully.</p>",Pentax 67; 45mm lens; Lee Filters holder; Lee Filters 3-stop split ND soft edge filter; 4secs at f/22; Fujichrome Velvia ISO 50 film; Gitzo GT3531 tripod; Kirk Enterprises BH-1.,Honorable Mention,center,36.4501,-117.339,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/94_BobbyWheat_DeathValleySunset_NV.jpg
denali,"Denali Wilderness, Alaska",Wildlife,Student,18,2_AlanWei_ArcticSquirrel_AK.jpg,Arctic Ground Squirrel,"Arctic Ground Squirrel, <em>Urocitellus parryii</em>",Alan Wei,"Setauket, New York","<p>Arctic ground squirrels live as small colonies in underground burrows, and often rely on &quot;lookouts&quot; to spot potential predators and alert the others. This particular animal, part of a colony near the Savage River in Denali National Park, had remained aboveground to sound the alarm and to keep an eye out on our group of approaching students.</p>
<p>I tried to capture the extraordinary personality this temporarily bipedal animal seemed to possess as I saw it eye to eye.</p>",Nikon D3; 400mm f/2.8D AF-S ED-IF II lens; AF-I TC-20E teleconverter 2X; 1/2500 sec at f/5.6; ISO 1600; hand-held.,Honorable Mention,top,63.43,-150.12,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/2_AlanWei_ArcticSquirrel_AK.jpg
denali,"Denali Wilderness, Alaska",Wildlife,Pro,null,3_DeeAnnPederson_RedFoxDenali_AK.jpg,Red Fox,"Red Fox, <em>Vulpes vulpes</em>",Dee Ann Pederson,"Houston, Texas","<p>The fall colors of Denali this year had locals and photographers alike saying, &quot;These are the most extraordinary colors I have seen here in 30 years.&quot; Around every curve of the road was another canvas of breathtaking colors. These frolicking red foxes brought another hue of red to the palette of colors adorning the subarctic tundra. </p>
<p>After spending more than hour watching these two rousting about, darting beneath and around the vibrant dwarf birch and tantalizing one another, it is easy to understand where the dance term &ldquo;the fox trot&rdquo; originated.  </p>",Nikon D3; 200-400mm f/4 lens at 210mm; 1/640 sec at f/4.5; ISO 2000; Wimberley tripod.,Honorable Mention,center,63.43,-150.12,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/3_DeeAnnPederson_RedFoxDenali_AK.jpg
denali,"Denali Wilderness, Alaska",Most Inspirational Moment,Amateur,null,39_JacobWFrank_TreesAflame_Denali_AK.jpg,Aurora in Upper Savage Area,Aurora in Upper Savage Area,Jacob W. Frank,"Gainesville, Florida","<p>I had been chasing the aurora the entire season, and had developed a foolproof plan to wake up in the middle of the night to check for the lights: drink lots of water. Before crawling into bed, I prepped my gear in case the lights were out when I inevitably woke up around 2 a.m. When the time came, I went outside and was greeted by the best northern lights show I had seen to date. I ran back into the backcountry cabin, grabbed my camera, and woke everyone up. As I was outside shooting, the others trickled out of their warm sleeping bags to join me in watching the show.</p>",Canon 5D Mark II; 17-40 f/4 L lens at 17mm; 20 secs at f/4; ISO 1600; Feisol Traveler tripod CT-3441S; CB-40D ball head.,Honorable Mention,center,63.43,-150.12,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/39_JacobWFrank_TreesAflame_Denali_AK.jpg
denali,"Denali Wilderness, Alaska",Most Inspirational Moment,Student,18,44_TimAiken_StudentWinner_AlaskaRange_AK.jpg,Alaska Range,Alaska Range,Tim Aiken,"Stanford, California","<p>Water is by far my favorite photo subject. The seemingly endless different ways it can flow, crash, bubble, or otherwise move means two water photos will never look the same. When I arrived at this small tarn in the high Alaskan tundra, the water was perfectly still&mdash;a far cry from the movement water often displays. This created a perfect reflection, unlike any I had seen before. The monochromatic clouds and mountains were nicely juxtaposed by the bright fall colors displayed in the alpine plants.</p>",Nikon D700; AF-S VR 70-200mm f/2.8G IF-ED lens at 70mm; 1/200 sec at f/8; ISO 200; Manfrotto 190XB and Compact ball head; Vello Freewave Radio Trigger.,Winner,center,63.43,-150.12,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/44_TimAiken_StudentWinner_AlaskaRange_AK.jpg
denali,"Denali Wilderness, Alaska",People in Wilderness,Amateur,null,62_JacobWFrank_PolychromePeakDenali_AK.jpg,Self-Portrait,Self-Portrait,Jacob W. Frank,"Gainesville, Florida","<p>It was July 4 and the peak of wildflower season. A friend and I decided to go for a hike to see how many species we could count in a single day. As we climbed higher, a storm approached the Alaska Range. We scrambled the last 200 feet up the peak and were met with a spectacular 180-degree view of the Upper Toklat Valley. To the east were blue skies and puffy white clouds, and to the west was the dark storm. As we descended, the storm hit us. But at days&rsquo; end, we had counted 62 wildflower species&mdash;my personal record.</p>",Canon EOS 5D Mark II; 17-40mm f/4 L at 33mm; 5 shots stitched; 1/250 sec at f/13; ISO 100; Vello's Wireless ShutterBoss Timer Remote; Feisol Traveler tripod CT-3441S Rapid; CB-40D ball head.,Honorable Mention,center,63.43,-150.12,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/62_JacobWFrank_PolychromePeakDenali_AK.jpg
denali,"Denali Wilderness, Alaska",Wildlife,Pro,null,65_DeeAnnPederson_CaribouDenali_AK.jpg,Caribou,"Caribou, <em>Rangifer tarandus</em>",Dee Ann Pederson,"Houston, Texas","<p>The phenomenal splendor of autumn in Alaska is not limited to tundra foliage. One of the most magnificent creatures in the landscape of the far north is the caribou. Each fall, bulls engage in the rut&mdash;a ritual to strut their stuff and establish territory for the upcoming mating season. The grandeur of Denali is in not only the vast expanses of vibrant landscapes, but also the majestic wildlife. When I saw this spectacular bull caribou appear over a knoll near Wonder Lake, it took my breath away.</p>",Nikon D3; AF-S 200-400mm f/4G ED VR II lens at 400mm; 1/500 sec at f/5.6; ISO 200; Wimberley tripod. ,Honorable Mention,right,63.43,-150.12,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/65_DeeAnnPederson_CaribouDenali_AK.jpg
dollySods,"Dolly Sods Wilderness, West Virginia",Scenic Landscape,Amateur,null,18_KennethGreenwood_AmWinner_DollySods_WV.jpg,Autumn Colors,Autumn Colors,Kenneth Greenwood,"Davenport, Florida","<p>Wilderness camping with a camera is my passion. The Dolly Sods Area is true wilderness-easy to get lost, few marked trails, temperamental weather. It isn't for the average hiker, and this makes it special; I can wander all day without seeing or hearing signs of any other human beings. There are near-constant winds, cold, and fog, which can break into sunshine at any moment. It all creates some of the most exhilarating, colorful flora in the entire United States. For this photo, I stayed overnight a couple of miles into the brush, and then set out wandering on a solo hike.<p>",Canon 5D Mark II; EF 28-300mm f/3.5-5.6L IS USM lens at 28mm; 1/60 sec at f/16; ISO 200; old wooden surveyor's tripod; Manfrotto 327RC2 light duty grip ball head with Quick Release. ,Winner,center,39.017,-79.3562,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/18_KennethGreenwood_AmWinner_DollySods_WV.jpg
dollySods,"Dolly Sods Wilderness, West Virginia",Scenic Landscape,Pro,null,78_DeniseSilva_EarlyMorning_DollySods_WV.jpg,Early Morning at Bear Rocks,Early Morning at Bear Rocks,Denise Silva,"Leesburg, Virginia","<p>Taken on a crisp fall morning, this image conveys the tranquility, solitude, and peacefulness of wilderness areas. After an early morning drive along narrow dirt roads into the Dolly Sods Wilderness area of the Monongahela National Forest, we arrived at Bear Rocks. The high-altitude plateau provides 360-degree views of moon-like rock formations and sweeping valleys. Waiting for the sunrise, nothing else exists but the single focus of watching the light and waiting for the moment when first light touches the fog in the valley. To me, nothing is more moving than watching a fall morning unfold.</p>",Sony DSLR-850; 70-400mm f/4-5.6 SSM lens at 70mm; 1/350 sec at f/5.6; ISO 160; Induro Carbon 8X CT214 tripod; BHD0 ball head. ,Honorable Mention,center,39.017,-79.3562,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/78_DeniseSilva_EarlyMorning_DollySods_WV.jpg
flatside,"Flatside Wilderness, Arkansas",Most Inspirational Moment,Pro,null,45_LauraVu_FallColors_Flatside_AR.jpg,Peak Fall Colors,Peak Fall Colors,Laura Vu,"Fort Worth, Texas","<p>A wise person once told me, &ldquo;You never know if you don&rsquo;t go.&rdquo; And that is certainty the truth about capturing this photograph. The day started out very bleak, with heavy banks of clouds looming and wind gusting up to 40 miles per hour. I didn&rsquo;t think there would be much of a sunset, but I had to at least be there in case one appeared. I think it paid off! This is one of the most amazing sunsets I&rsquo;ve seen in a long time.</p>",Canon 5D Mark II; EF 17-40mm f/4L USM lens at 17 mm; .9 and .6 GND soft filter; 5.2 sec at f/11; ISO 100; Gitzo GT0531 tripod; Really Right Stuff BH-30 head.,Honorable Mention,right,34.8596,-92.9312,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/45_LauraVu_FallColors_Flatside_AR.jpg
frankChurch,"Frank Church-River of no Return Wilderness, Idaho",People in Wilderness,Amateur,null,63_ThomasHaney_Smokejumpers_ID.jpg,Grangeville Smokejumpers,Grangeville Smokejumpers,Thomas Haney,"Kooskia, Idaho","<p>Smokejumpers are airborne wild land firefighters, most often used for initial attack on fires so remote that no other means of timely access is possible. After parachuting onto a ridge at 8,000-ft elevation, deep in the Frank Church-River of No Return Wilderness, eight members of the Grangeville Smokejumpers hiked with gear two miles down the ridge to the active fire. For the next seven days, we slept near the fire, drank from a spring, and ate the dehydrated food that had been dropped to us, while working to contain the blaze with hand tools until there was no heat left.</p>",Olympus OM-D E-M5; M ED 9-18mm f/4-5.6 lens; 1/400 sec at f/9; ISO 400; hand-held.,Honorable Mention,center,44.7431,-114.752,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/63_ThomasHaney_Smokejumpers_ID.jpg
gatesArctic,"Gates of the Arctic Wilderness, Alaska",Wildlife,Pro,null,64_CarlJohnson_WolfTracksonIce_GatesofArctic_AK.jpg,Wolf Tracks on Ice,Wolf Tracks on Ice,Carl Johnson,"Anchorage, Alaska","<p>I was mushing up the North Fork of the Koyukuk River with park ranger Zak Richter when we stopped to give the sled dogs a rest. Looking around, I saw wolf prints clinging to the sheer ice. A wolf had passed through when there was a thin layer of snow on the ice, and a stiff wind had blown away loose snow, leaving the prints behind. I never saw any wolves on the trip, but I felt in their presence. Seeing those tracks added to the magic of being in such a wild place in the winter.</p>",Nikon D300; AF 24-85mm f/2.8-4D IF lens at 35mm; 1/80 sec at f/22; ISO 400; hand-held. ,Honorable Mention,center,67.7652,-153.394,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/64_CarlJohnson_WolfTracksonIce_GatesofArctic_AK.jpg
gaylordNelson,"Gaylord Nelson Wilderness, Wisconsin",Most Inspirational Moment,Amateur,null,46_JeffRennicke_HoneymoonRock_WI.jpg,Aurora Borealis over Honeymoon Rock,Aurora Borealis over Honeymoon Rock,Jeff Rennicke,"Bayfield, Wisconson","<p>One of my favorite places has always been Honeymoon Rock, a haiku of stone, a small rock outcropping north of Basswood Island. I dreamed of a night shot. I knew I'd have to stand chest-deep in cold Lake Superior with my camera on a tripod inches above the water, so it would have to be calm, warm, and clear. But first, I would have to get there. </p>
<p>An old friend and boat captain took me out on the lake. Just as we pulled slowly up to the north end of the island, almost blinded by the darkness, the northern lights burst on and guided us to the perfect spot.  </p>",Nikon D5100; Tokina 11-16mm lens at 11mm; 30 secs at f/2.8; ISO 400; Nikon Speedlight SB-700; Vanguard tripod.,Honorable Mention,right,46.9381,-90.5833,http://storymaps.esri.com/stories/2014/wilderness-photos/resources/images/contest-photos/small/46_JeffRennicke_HoneymoonRock_WI.jpg
